company_key,company_display_name,year,quarter,reporting_currency,source_file,revenue,arr,gross_margin,net_revenue_retention,logo_churn,headcount,cash_balance,net_burn
ApexFreight,FleetLink Logistics Network,2024,4,USD,FleetLink_Q4_2024.pdf,9.0M,,51.0%,,,196.0,,
ApexFreight,FleetLink Logistics Network,2025,1,USD,FleetLink_Q1_2025.pdf,8.9M,,52.0%,,,199.0,,
ApexFreight,Apex Freight Solutions Inc.,2025,2,USD,ApexFreight_Q2_2025.pdf,9.3M,,54.0%,,,204.0,,
CarbonTrack,CarbonTrack Analytics Corp.,2025,2,USD,CarbonTrack_Q2_2025.pdf,4.1M,16.9M,73.0%,121.0%,3.8%,78.0,13.8M,-0.55M
ClearPay,ClearPay Technologies Ltd.,2025,2,USD,ClearPay_Q2_2025.pdf,17.3M,,67.0%,,,211.0,38.4M,
ConstructIQ,ConstructIQ Solutions Inc.,2025,2,USD,ConstructIQ_Q2_2025.pdf,4.5M,18.6M,71.0%,112.0%,6.3%,89.0,11.2M,-0.91M
LendBridge,LendBridge Capital Corp.,2024,2,USD,LendBridge_Q2_2024.pdf,10.1M,,58.0%,,,162.0,,
LendBridge,LendBridge Capital Corp.,2024,3,USD,LendBridge_Q3_2024.pdf,10.8M,,59.0%,,,169.0,,
LendBridge,LendBridge Capital Corp.,2024,4,USD,LendBridge_Q4_2024.pdf,11.4M,,60.0%,,,175.0,,
LendBridge,LendBridge Capital Corp.,2025,1,USD,LendBridge_Q1_2025.pdf,12.1M,,61.0%,,,182.0,,
LendBridge,LendBridge Capital Corp.,2025,2,USD,LendBridge_Q2_2025.pdf,12.7M,,62.0%,,,188.0,,
MediSight,MediSight Data Platform Inc.,2024,4,USD,MediSight_Q4_2024.pdf,6.1M,24.5M,75.0%,,,108.0,,
MediSight,MediSight Data Platform Inc.,2025,1,USD,MediSight_Q1_2025.pdf,6.3M,26.1M,76.0%,,,114.0,,
MediSight,MediSight Data Platform Inc.,2025,2,USD,MediSight_Q2_2025.pdf,6.8M,27.9M,77.0%,,,121.0,,
NovaCloud,NovaCloud Analytics Inc.,2024,2,USD,NovaCloud_Q2_2024.pdf,5.8M,24.1M,74.0%,115.0%,7.8%,112.0,29.5M,-0.98M
NovaCloud,NovaCloud Analytics Inc.,2024,3,USD,NovaCloud_Q3_2024.pdf,6.5M,26.8M,75.0%,117.0%,7.2%,120.0,26.6M,-0.95M
NovaCloud,NovaCloud Analytics Inc.,2024,4,USD,NovaCloud_Q4_2024.pdf,7.2M,29.1M,,,6.5%,128.0,24.0M,-0.88M
NovaCloud,NovaCloud Analytics Inc.,2025,1,USD,NovaCloud_Q1_2025.pdf,7.9M,31.6M,77.0%,121.0%,6.1%,135.0,21.3M,-0.82M
NovaCloud,NovaCloud Analytics Inc.,2025,2,USD,NovaCloud_Q2_2025.pdf,8.4M,34.2M,78.0%,123.0%,5.8%,142.0,19.6M,-0.75M
PeopleFlow,PeopleFlow HR Systems Ltd.,2024,4,GBP,PeopleFlow_Q4_2024.pdf,4.4M,18.3M,74.0%,116.0%,4.5%,88.0,,
PeopleFlow,PeopleFlow HR Systems Ltd.,2025,1,GBP,PeopleFlow_Q1_2025.pdf,4.7M,19.8M,74.0%,117.0%,4.3%,92.0,,
PeopleFlow,PeopleFlow HR Systems Ltd.,2025,2,GBP,PeopleFlow_Q2_2025.pdf,5.1M,21.4M,,118.0%,4.2%,96.0,,
TalentVault,TalentVault Inc.,2025,2,USD,TalentVault_Q2_2025.pdf,5.5M,22.4M,76.0%,119.0%,,103.0,17.9M,-0.68M
